Brand,Description.,Category,Address,Contact Number,Website,Social Media
Moutley,"Brand streetwear yang menawarkan pakaian kasual dengan desain modern, cocok untuk anak muda yang ingin tampil gaya dan nyaman.","Pakaian,Aksesoris","JI. Anyar, Kel. Majasetra, Kec.Majalaya, Bandung, 40382",,moutley.com,@itsmoutley
Famo,"Brand fashion yang fokus pada pakaian dengan gaya kasual dan santai, sering dikaitkan dengan desain simpel namun stylish.","Pakaian,Aksesoris","Jl. Dr. Setiabudi No.41, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat 40161",+62 821-2177-3254,3second.co.id,@famo.indonesia
FMC Speed Supply,"Brand lokal yang menyediakan pakaian dan aksesoris dengan tema budaya otomotif, cocok untuk penggemar motor dan mobil dengan gaya yang maskulin.","Pakaian,Aksesoris","Jl. Kepatihan No.10, Kota Bandung.",+62 229-1091-815,fmc.id,@fmcspeedsupply
Capital Markkt,"Brand fashion lokal yang menawarkan berbagai produk streetwear dengan konsep casual dan unik, ditujukan untuk anak muda yang ingin tampil beda.","Pakaian,Aksesoris","Jl. L. L. R.E. Martadinata No.61, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114",+62 229-1091-815,capitalmarkkt.com,@capitalmarkkt
Hanna,"Brand fashion yang menawarkan koleksi pakaian wanita dengan desain minimalis, modern, dan chic.",Pakaian,Jl Merdeka No 56 Bandung,+62 821-2177-3254,hanna.id,@hannaclothing
Screamous,"Brand lokal yang menyediakan pakaian dengan gaya streetwear, menawarkan desain yang unik dan berani untuk anak muda yang suka tampil beda.","Pakaian,Aksesoris","Jl. Trunojoyo No.23, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",(022) 42690853,screamous.com,@screamous_store
UNKL347,"Brand fashion yang dikenal sebagai pelopor streetwear di Indonesia, menawarkan produk pakaian dan aksesoris yang fashionable dengan konsep modern.","Pakaian,Aksesoris","Jl. Trunojoyo No.4, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",(022) 4200515,unkl347.com,@unkl347
Flashy,"Brand lokal yang menawarkan tas modis dan unik, cocok untuk anak muda yang ingin tampil beda.",Tas,"Jl. Dipati Ukur No.1, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",(022) 2508393,flashyshop.com,@flashy_shop
Maternal Disaster,"Brand fashion dengan fokus pada pakaian streetwear dan aksesori bernuansa rebel, terkenal di kalangan penggemar musik rock dan metal.","Pakaian,Aksesoris","Jl. Wira Angun Angun No.4B, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",+62 821-3000-1985,maternaldisaster.com,@maternaldisaster
Wadezig,"Brand streetwear lokal yang menawarkan pakaian dengan desain kasual namun memiliki nilai seni tinggi, cocok untuk kalangan anak muda yang kreatif.","Pakaian,Aksesoris","Jl. Trunojoyo No.4, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",(022) 20503948,wadezig.com,@wdzg
Visval,"Brand lokal yang terkenal dengan produk tas dan aksesoris berkualitas tinggi, cocok untuk aktivitas outdoor maupun penggunaan sehari-hari.",Tas,"Jl. Arcamanik Endah No.2, Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293",+62 813-2079-0444,visval.co.id,@visval
Geoff Max,"Brand sepatu lokal yang menyediakan koleksi sneaker kasual dengan desain modern dan harga terjangkau, banyak digemari oleh anak muda.",Sepatu,"Jl. Trunojoyo No.15, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40256",(022) 87301291,geoff-max.com,@geoffmaxfootware
BLOODS,"Brand fashion yang menawarkan pakaian streetwear untuk pria dan wanita, terkenal dengan gaya yang edgy dan unik.","Pakaian,Aksesoris","Jl. A.H. Nasution Jl. Sindanglaya No.158, Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat 40294",+62 813-2075-7536,bloods-industries.co,@bloodsclothofficial
United Hart (UH!),"Brand fashion yang menawarkan produk streetwear dengan desain yang bold dan menarik, cocok untuk gaya kasual anak muda.","Pakaian,Aksesoris","Jl. Trunojoyo No.4, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",+62 812-2225-8013,unitedhart.co,@unitedhart
FOMS Market,"Brand lokal yang menyediakan produk fashion dan aksesoris yang terinspirasi dari budaya pop, menawarkan koleksi pakaian yang modern dan nyaman.","Tas,Aksesoris","Jl. Gandapura No.16, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40113",+62 813-2148-0134,-,@fomstudio_
Exsport Flagship,"Brand yang fokus pada produk tas wanita yang stylish dan fungsional, cocok untuk kegiatan sehari-hari maupun traveling.",Tas,"Jl. Bahureksa No.24, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",+62 811-2009-770,-,@exsportbags
Mankind,Brand fashion yang menawarkan koleksi denim dan pakaian kasual dengan desain yang simpel dan timeless.,"Jeans,Pakaian","Jl. Cimanuk No.5A, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",+62 812-8899-2341,thisismankind.id,@m.a.n.k.i.n.d
Kalea Space,"Brand fashion lokal yang menawarkan pakaian dengan desain minimalis dan modern, fokus pada bahan yang nyaman dan stylish untuk digunakan sehari-hari.",Pakaian Wanita,"Jl. Ranggamalela No.8, Dago, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40116",+62 852-8228-2885,kalea-space.com,@kaleaspace
Up n Wear,"Brand lokal yang menawarkan pakaian dengan gaya kasual dan streetwear, cocok untuk kalangan anak muda yang ingin tampil modis dengan harga terjangkau.","Pakaian,Aksesoris","Jl. Braga No.43, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111",+62 821-2627-0035,-,@up.n.wear
HGL House,"Brand yang menyediakan pakaian streetwear dengan desain yang unik dan edgy, sering menggabungkan elemen seni dalam koleksinya, cocok untuk anak muda yang kreatif.","Pakaian,Aksesoris","Jl. Ciliwung No. 14, Cihapit, Bandung Wetan.",+62 878-2106-8304,hglhouse.com,@hglhouse
Grammars,"Brand lokal yang fokus pada pakaian kasual dengan desain simpel namun stylish, cocok untuk penggunaan sehari-hari.","Pakaian,Aksesoris","Jl. Cihapit No.6, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114",+62 812-2380-324,-,@gggrammars
Adorable Project,"Brand fashion wanita yang menawarkan pakaian, tas, dan aksesoris dengan desain feminin dan playful, populer di kalangan anak muda wanita.","Pakaian Wanita,Tas","Jl. Kolonel Masturi No.163a, Cipageran, Kec. Cimahi Utara, Kota Cimahi, Jawa Barat 40523",(022) 20578464,https://adorableprojects.co.id/,@adorableprojectsofficial
Kalibre,"Brand yang fokus pada produk tas dan aksesoris outdoor yang berkualitas tinggi, dikenal dengan desain fungsional dan tahan lama.","Tas,Aksesoris","Jalan Cihampelas No.4 Pasir Kaliki Cicendo, Tamansari, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40171",(022) 4232625,-,@kalibre.bandung
Dobujack,"Brand denim lokal yang menyediakan koleksi pakaian berbahan jeans dengan desain klasik dan modern, cocok untuk kalangan anak muda yang ingin tampil beda.","Jeans,Pakaian","Jl. Cisaranten Kulon, Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293",(022) 63758244,-,@dobujackinvasion
Gonegani,"Brand lokal yang menyediakan tas dengan desain modern dan fungsional, cocok untuk aktivitas sehari-hari maupun traveling.","Tas,Aksesoris","Jl. Cikutra Baru V no.5, Neglasari, Bandung, Bandung, Jawa Barat, 40124, Indonesia",+62 812-2323-1060,-,@gonegani
Kick Denim,"Brand fashion lokal yang terkenal dengan produk jeans berkualitas tinggi dengan harga terjangkau, menyediakan desain yang cocok untuk aktivitas kasual maupun formal.","Jeans,Pakaian","Jl. Awigombong No.18, Cicadas, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40121",+62 812-2020-6060,kickdenim.com,@kickdenim
Mischief Denim,"Brand lokal yang fokus pada produk denim dengan desain yang stylish dan modern, dikenal dengan kualitas bahannya yang tahan lama dan nyaman digunakan.","Jeans,Pakaian",Jl. R.E Martadinata No.70 Bandung,+62 878-2422-1528,mischiefdenim.com,@mischiefdenim
Evil Army,"Brand fashion lokal yang menawarkan koleksi streetwear dengan desain bold dan edgy, banyak terinspirasi dari budaya urban dan musik rock.","Pakaian,Aksesoris","Jl. Sultan Agung No.5, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",+62 811-1111-0227,www.evilfact.com,@evilarmyshop
Blackjack,"Brand fashion yang menawarkan koleksi pakaian kasual dan streetwear dengan desain simpel namun stylish, banyak digemari oleh kalangan anak muda.","Pakaian,Aksesoris","Jl. Wira Angun Angun No.7, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",+62 888-2397-824,bljk.orderonline.id,@blackjack21ind
Cosmic,"Brand lokal yang menyediakan koleksi pakaian streetwear dengan desain yang bold dan mencolok, sering digunakan oleh kalangan skater dan pecinta seni jalanan.","Pakaian,Aksesoris","Jl. Sultan Agung No.7, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",+62 811-2394-600,www.cosmicclothes.net,@cosmicclothes
Rubylicious,"Brand fashion wanita yang menyediakan pakaian dengan desain feminin dan trendy, sering kali digunakan oleh kalangan remaja dan anak muda wanita.",Pakaian Wanita,"Jl. Kemuning No.2, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40113",+62 812-2325-4120,-,@rubylicious.bandung
Wellborn Company,"Brand streetwear lokal yang menyediakan koleksi pakaian kasual dengan desain yang modern dan stylish, banyak terinspirasi dari seni urban dan budaya pop.","Pakaian,Aksesoris","Jl. Muara Indah No.29A, Situsaeur, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40234",+62 812-2199-3229,wellborncompany.com,@wellborncompany
Our Clothing (OCLO),"Brand lokal yang menyediakan koleksi pakaian kasual dengan desain minimalis namun tetap stylish, cocok untuk anak muda yang ingin tampil modis tanpa berlebihan.","Pakaian,Aksesoris","Jl. Melati 24B, Braga, Bandung",+62 853-4198-3427,ourclothing.co,@ourclothing.id
Oh.irv,"Brand fashion lokal dengan fokus pada pakaian streetwear yang bold dan eksperimental, sering memadukan elemen budaya urban dan seni jalanan dalam desainnya.","Pakaian,Aksesoris","Jl. Ciliwung No. 14, Cihapit, Bandung Wetan.",+62 878-2106-8304,ohirv.com,@ohirv
Choral,"Brand lokal yang menyediakan pakaian streetwear dan aksesoris dengan desain yang unik dan eksklusif, terkenal di kalangan anak muda yang ingin tampil beda.","Pakaian,Aksesoris","Jln Pasirnaya III No 1A Komplek, Jl. Pasir Pogor Raya Jl. Ciwastra, Mekarjaya, Kec. Rancasari, Kota Bandung, Jawa Barat 40292",+62 812-2376-4857,choralstore.com,@choralclothing
Torch,"Brand outdoor lokal yang menyediakan perlengkapan outdoor, seperti tas, jaket, dan aksesoris, cocok untuk pendaki dan traveler.","Tas,Jaket,Aksesoris","Jl. Merdeka No.43, Babakan Ciamis, Kecaman Sumur Bandung, Kota Bandung, Jawa Barat. 40117",+62 821-2080-0820,torch.id,@torch.id
Niion,"Brand lokal yang fokus pada tas dengan desain yang stylish dan unik, menggunakan bahan yang ramah lingkungan dan cocok untuk aktivitas sehari-hari.","Tas,Aksesoris","Jl. Kemuning No.8A, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40113",+62 855-2074-1063,niion.co.id,@niion.id
Eibag,"Brand lokal yang menyediakan berbagai jenis tas fungsional dengan desain yang modern, cocok untuk aktivitas outdoor maupun sehari-hari.","Tas,Aksesoris","Jl. Citepus III No.3, RT.07/RW.10, Pajajaran, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",+62 821-2961-3448,eibag.com,@eibagofficial
Atva Bag,"Brand lokal yang fokus pada produk tas dengan desain minimalis dan stylish, menggunakan bahan berkualitas yang tahan lama dan cocok untuk berbagai keperluan.","Tas,Aksesoris","Jl. Diponegoro No.13, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",+62 812-1470-3537,atvabag.com,@atvabag
Firefly Bag,"Brand lokal yang menyediakan tas dan perlengkapan outdoor dengan kualitas tinggi, cocok untuk traveler yang mencari kenyamanan dan fungsi dalam satu produk.","Tas,Aksesoris","Jl. Mutiara Dreamland No.blok A7, Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293",+62 821-2659-1177,fireflybag.com,@fireflybag
Ame Raincoat,"Brand yang fokus pada produk jas hujan dengan desain modern dan fungsional, menggunakan bahan tahan air berkualitas tinggi, cocok untuk aktivitas di musim hujan.",Jas Hujan,"Jl. Ciliwung No. 14, Cihapit, Bandung Wetan.",+62 878-2106-8304,ameraincoat.com,@ameraincoat
Nayara,"Brand fashion lokal yang menyediakan pakaian dan aksesoris dengan desain feminin dan modern, terkenal di kalangan wanita muda.",Pakaian Wanita,"Komplek, Jl. Pasirwangi Raya Jl. Kembar Mas Tim. No.Kav.10, Pasirluyu, Regol, Bandung City, West Java 40254",+62 855-5974-3246,nayara.co.id,@nayaraclothing
House Of Donatello,"Brand lokal yang fokus pada produk sepatu kulit dan aksesoris dengan desain elegan dan kualitas bahan premium, cocok untuk keperluan formal dan kasual.","Sepatu,Aksesoris","Jl. Ir. H. Juanda No.104, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",+62 811-2448-185,donatello.co.id,@donatello_id
Rumah Batik Komar,"Brand batik yang terkenal dengan koleksi batik khas Bandung yang dibuat dengan tangan, menyediakan berbagai pilihan batik modern untuk pria dan wanita.","Batik,Pakaian","Jl. Cigadung Raya Timur No.1 No.5, Cigadung, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40191",+62 823-1899-3568,batikkomar.com,@rumahbatikkomar
Tegep Boots,"Brand sepatu lokal yang fokus pada produk sepatu boots dengan bahan kulit berkualitas tinggi, terkenal dengan desain yang kuat dan tahan lama.",Sepatu Boots,"Jl. Pasirjaya VI No.18, Pasirluyu, Kec. Regol, Kota Bandung, Jawa Barat 40264",+62 811-1631-122,tegepboots.com,@tegepboots
Gallery Baruni Batik,"Brand batik lokal yang menyediakan batik dengan desain klasik dan modern, menggabungkan seni tradisional dengan gaya kontemporer, cocok untuk berbagai acara formal maupun kasual.","Batik,Pakaian","Jl. Buah Batu No.87, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40262",+62 856-9308-6858,barunibatik.com,@barunibatik
GVFI,"Brand lokal yang menawarkan koleksi pakaian dan aksesoris dengan desain kasual dan modern, cocok untuk pria dan wanita yang ingin tampil modis tanpa berlebihan.","Pakaian,Aksesoris","Pasar Kosambi, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40112",+62 821-1377-9199,gvfi.co.id,@gvfi.co
Amble Footwear,"Brand lokal yang menyediakan sepatu kulit dengan desain klasik dan modern, cocok untuk gaya kasual dan formal.",Sepatu Kulit,"Jl. Karawitan No.3, Turangga, Kec. Lengkong, Kota Bandung, Jawa Barat 40264",+62 818-6288-24,amble.id,@amble.id
Proudly Shoes,Brand sepatu lokal yang fokus pada produk sepatu kulit handmade dengan desain elegan dan kualitas premium.,Sepatu Kulit,"Jl. Gatot Subroto No.230, Binong, Kec. Batununggal, Kota Bandung, Jawa Barat 40275",+62 813-2451-7733,proudlyshoes.com,@proudlyshoes
Kulkith Shoes,"Brand sepatu lokal yang menyediakan produk sepatu kulit dengan desain minimalis dan kasual, cocok untuk penggunaan sehari-hari.",Sepatu Kulit,"Jl. Setra Indah 2 No.21 Sukamuya Sukagalih Sukajadi Bandung Jawa Barat, Tamansari, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40163",+62 856-5923-5272,-,@kulkith
MKS Shoes,"Brand sepatu yang menawarkan koleksi sepatu kulit dan sneakers dengan desain elegan dan modis, cocok untuk anak muda.","Sepatu,Sneakers","Jl. Sultan Agung No.10, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",+62 811-1137-272,mks-shoes.com,@mksshoes
Kalani,"Brand lokal yang menyediakan pakaian wanita dengan desain minimalis dan nyaman, menggunakan bahan berkualitas yang cocok untuk aktivitas sehari-hari.",Pakaian Wanita,"3HM3+999, Melong, Kec. Cimahi Sel., Kota Cimahi, Jawa Barat 40534",+62 821-2836-0584,kalaniclothing.com,@kalani.label
Levaya,"Brand lokal yang menyediakan produk hijab dan pakaian muslimah dengan desain modern dan stylish, banyak digunakan oleh wanita muda.","Hijab,Pakaian Muslimah","Jl. Terusan Kiara Sari Raya Jl. Cijawura Girang Ⅴ No.8, Margasari, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286",+62 811-8081-704,-,@levaya.id
S.rw,"Brand lokal yang menawarkan produk fashion dengan desain unik dan kreatif, terutama pada produk streetwear dan aksesoris.","Pakaian,Aksesoris","Jl. Brantas No.8, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114",+62 821-1428-2723,srwclothing.com,@s.rw
Bigmo,"Brand lokal yang menyediakan berbagai produk pakaian kasual dengan desain simpel namun elegan, cocok untuk aktivitas sehari-hari.","Pakaian,Aksesoris","Jl. Golf Tim. III No.1, Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293",+62 821-1533-2121,bigmo.id,@bigmo.id
TVF Footwear,Brand fashion lokal yang fokus pada sepatu formal pria dengan desain elegan dan kualitas premium.,Sepatu Formal,"Jl. Moch. Ramdan No.28, Ciateul, Kec. Regol, Kota Bandung, Jawa Barat 40254",+62 821-2882-1991,tvf.id,@tvf.footwear
Baju Twinstyle by Eva,"Brand fashion wanita yang menyediakan pakaian dengan desain kembar atau twinset, cocok untuk ibu dan anak atau saudara perempuan.",Pakaian Wanita,"Jl. Tongkeng No.3 A, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40113",+62 838-2141-8000,-,@twinstylebyeva
Kreasi Apik,Brand lokal yang menawarkan produk kerajinan tangan berbahan dasar kain dan rajutan dengan berbagai macam aksesoris dan dekorasi rumah.,"Aksesoris,Dekorasi","Lucky Square Mall Lt.UG Blok.B7.5, Jl. Terusan Jakarta No.2, Babakan Surabaya, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40125",+62 896-0737-4694,-,@kreasiapik
CK Bandana,"Brand aksesoris yang fokus pada produk bandana dan bando dengan desain yang kreatif dan unik, cocok untuk segala usia.",Aksesoris,"Jl. Sukamenak, Komplek Permata Kopo, Bl. Ga No.81, Sayati, Kec. Margahayu, Kabupaten Bandung, Jawa Barat 40228",+62 813-2199-9828,ckbandana.com,@ckbandana_catalouge
Sandal Gunung Tanpa Batas,"Brand sandal lokal yang menyediakan produk sandal gunung yang kokoh dan nyaman, cocok untuk aktivitas outdoor dan petualangan.",Sandal Gunung,"2GGQ+835, Gajahmekar, Kutawaringin, Bandung Regency, West Java 40911",,-,@sandalgunungtanpabatas
Steward Margrave,"Brand fashion pria yang menawarkan pakaian formal dengan desain elegan dan klasik, cocok untuk keperluan formal dan bisnis.",Pakaian Formal Pria,"Jl. Cibaduyut No.84, Cibaduyut, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40236",+62 821-2178-8995,-,@stewardmargrave
Rizmah Craft,"Brand kerajinan tangan lokal yang menyediakan berbagai produk aksesoris, tas, dan perhiasan dengan desain kreatif dan artistik, cocok untuk hadiah dan dekorasi rumah.","Aksesoris,Kerajinan","Jl. Kembar Barat Baru No.11, Cigereleng, Kec. Regol, Kota Bandung, Jawa Barat 40253",+62 812-1969-7400,rizmahcraft.com,@rizmahcraft
Iffer Collection,"Brand pakaian lokal yang menawarkan produk pakaian dengan desain unique, simple dan elegan, menggunakan bahan berkualitas tinggi, cocok untuk acara formal.",Pakaian,"Balubur Town Square, Jl. Tamansari No.03 Lantai 2 Blok H-03 (depan lift, Tamansari, Bandung Wetan, Bandung City, West Java 40132",+62 812-2126-648,https://yubi.id/iffer,@iffercollection
Kerudung Tsamali,"Brand hijab yang menyediakan berbagai produk kerudung dan hijab dengan desain modern dan bahan berkualitas, cocok untuk wanita muslimah yang ingin tampil stylish.",Hijab,"kompleks Graha Batu Karang No.51, Cipamokolan, Rancasari, Bandung City, West Java 40292",+62 877-2265-5525,-,https://www.instagram.com/tsamali_bdg/
Melatechnotic,"Brand fashion lokal yang menyediakan produk dengan gaya futuristik dan teknologi, fokus pada pakaian kasual yang nyaman dan modern.","Pakaian,Aksesoris","Mela Technotic, 3PRF+764, Jl. Cilengkrang 1, Cisurupan, Kec. Cibiru, Kota Bandung, Jawa Barat 40614",,yubi.id/Technoticmela?,@melatechnotic
Jetalla'Aneiu,"Brand lokal yang menawarkan produk pakaian dan aksesoris dengan desain yang eksklusif dan unik, cocok untuk kalangan anak muda yang ingin tampil beda.","Pakaian,Aksesoris","Cigereleng, Regol, PuriBkr, West Java 40253",+62 881-7735-519,https://www.jetallaaneiu.com/,https://www.instagram.com/jetalla_aneiu/
ELKA,"Brand lokal yang menyediakan pakaian wanita dengan desain minimalis dan feminin, menggunakan bahan yang nyaman untuk aktivitas sehari-hari.",Pakaian,"Jl. Anggrek No. 15 Kecamatan Sumur Bandung, Kota Bandung, Jawa Barat 40113",+62 818-0930-9313,https://elkacollective.com/,https://www.instagram.com/elka_collective/
Exodos57,"Brand sepatu lokal yang menyediakan produk sepatu kulit dengan desain vintage dan modern, menggunakan bahan berkualitas tinggi untuk kenyamanan dan daya tahan yang maksimal.",Sepatu Kulit,"Jl. K.H. Ahmad Dahlan No.50, Malabar, Kec. Lengkong, Kota Bandung, Jawa Barat 40262",+62 811-1370-057,-,@exodos57
NAH Project,"Brand sepatu lokal yang menjadi terkenal setelah digunakan oleh Presiden Joko Widodo, menawarkan produk sneakers dengan desain minimalis dan harga terjangkau.","Sepatu,Sneakers","Jl. Lombok No.11a, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40113",,nahproject.com,@nah.project
Mr. Quilting,"Brand lokal yang menyediakan produk outerwear dan jaket berbahan quilted dengan desain kasual dan stylish, cocok untuk gaya sehari-hari dan outdoor.",Pakaian,"Jl. Teuku Umar No.5, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",+62 811-2209-099,mrquilting.com,https://www.instagram.com/mr.quilting
Jims Honey,"Brand tas wanita yang menyediakan produk dengan desain feminin dan modern, cocok untuk berbagai acara kasual maupun formal, populer di kalangan wanita muda.","Tas,Aksesoris","HR8F+443, Jl. Karang Anyar 1, Loktabat Utara, Kec. Banjarbaru Utara, Kota Banjar Baru, Kalimantan Selatan",+62 822-1355-9121,jimshoney.co.id,@jimshoneyofficial
Zapato,"Brand sepatu lokal yang fokus pada produk sepatu formal dan kasual, menggunakan bahan kulit berkualitas tinggi dengan desain yang nyaman dan stylish.",Sepatu Kulit,"Jln. Soekarno-Hatta No 590 Ruko MTC Blok D65, Sekejati, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286",+62 838-2016-7788,-,https://www.instagram.com/zapato_footwear?
Dreambirds Artwear,"Brand fashion yang menawarkan pakaian dengan desain artistik, memadukan seni lukis dengan fashion untuk menghasilkan produk yang unik dan eksklusif.","Pakaian,Aksesoris","Jl. Bahureksa 27, Citarum, Bandung Wetan, Bandung, Jawa Barat",,linktr.ee/dreambirdsofficial,https://www.instagram.com/dreambirdsofficial/?hl=en
East Hood,"Brand fashion streetwear yang menyediakan produk dengan gaya kasual dan sporty, terkenal dengan desain bold yang terinspirasi dari budaya urban dan musik hip-hop.","Pakaian,Aksesoris","Jl. Baros, Utama, Kec. Cimahi Sel., bandung, Jawa Barat 40534",+62 821-7108-9604,linktr.ee/easthood,https://www.instagram.com/east_hood/
Rawtype Riot,"Brand lokal yang menawarkan produk pakaian denim dan jaket dengan desain klasik dan premium, terkenal dengan kualitas bahan denim yang tahan lama dan stylish.","Denim,Pakaian","Jl. Dipati Ukur No.33, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa Barat 40164",+62 831-4291-7708,https://rawtyperiot.co/,https://www.instagram.com/rawtype_riot/
Happy Go lucky,"Brand lokal yang menawarkan produk pakaian dengan desain simple dan elegan, cocok untuk sehari-hari.",Pakaian,"Jl. Ciliwung No.14, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114",(022) 7234162,https://linktr.ee/hglhouse,https://www.instagram.com/hglhouse
ThanksInsomnia,Brand lokal yang menawarkan desain trendy dan energik yang sangat cocok untuk anak muda.,Pakaian,"Jl. Angsana Raya Sektor 1.1 Blok A 1/6, RT.05/RW.01, Rw. Buntu, Kec. Serpong, Kota Tangerang Selatan, Banten 15318",+62 878-8062-0990,https://thanksinsomnia.asia/,https://www.instagram.com/thanksinsomnia
